Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
9-Jan-11,2,116,26,17,14,177,641,,183,56,7,5,14,0,9,133,128,79,2
9-Jan-11,3,78,12,24,17,175,819,,147,68,10,14,3,0,3,86,131,65,8
9-Jan-11,4,52,9,6,14,118,479,,77,28,7,10,8,4,1,79,91,53,9
9-Jan-11,5,26,9,10,1,65,109,,30,15,3,10,1,1,2,42,52,35,5
9-Jan-11,6,23,8,14,16,49,69,,43,24,3,14,8,4,4,57,83,34,17
9-Jan-11,7,48,28,22,10,81,124,,58,48,40,78,43,6,26,84,176,89,25
9-Jan-11,8,55,91,48,22,268,236,,95,88,57,190,66,90,65,184,254,93,92
9-Jan-11,9,158,103,85,48,659,506,,373,280,65,43,97,236,77,411,433,140,127
9-Jan-11,10,335,149,122,52,709,1077,,933,556,77,118,165,469,114,1056,633,244,157
9-Jan-11,11,451,216,125,49,864,1647,,1549,862,72,70,345,804,119,1203,859,310,223
9-Jan-11,12,741,242,112,60,1325,2273,,2262,1021,71,57,505,1070,146,1404,1068,286,316
9-Jan-11,13,1027,266,111,54,1599,2687,,2605,1169,70,46,577,1094,146,1735,1173,393,414
9-Jan-11,14,1148,239,171,60,1750,2891,,3075,1293,44,45,554,1029,152,1816,1328,462,721
9-Jan-11,15,1146,197,157,42,1822,2763,,3053,1201,53,73,604,996,194,1911,1525,540,358
9-Jan-11,16,1039,256,129,38,1594,2573,,2817,927,57,61,527,755,158,1526,1492,487,281
9-Jan-11,17,1080,186,115,37,1715,2138,,1831,582,80,62,359,450,142,1186,1213,457,917
9-Jan-11,18,784,183,66,43,1427,1413,,812,281,79,59,320,161,120,1101,960,392,181
9-Jan-11,19,580,106,53,40,1204,1150,,399,216,60,53,304,148,58,723,919,390,119
9-Jan-11,20,604,89,49,20,1128,881,,289,141,56,68,359,216,67,594,686,319,84
9-Jan-11,21,411,99,38,15,909,724,,221,102,58,64,259,134,36,559,851,382,50
9-Jan-11,22,244,58,30,37,587,532,,169,104,39,62,98,44,24,429,574,275,27
9-Jan-11,23,150,76,28,11,379,342,,106,61,25,18,54,13,15,220,424,178,3
10-Jan-11,0,79,20,7,16,128,205,,63,63,21,21,22,5,1,121,163,100,9
10-Jan-11,1,46,11,6,5,59,101,,65,8,3,6,12,8,2,51,51,28,2
10-Jan-11,2,42,14,4,4,54,75,,49,27,1,2,0,0,0,19,81,16,1
